item,day
G. nut sungold 1 lt,14
G. nut Golden oil 1 lt,342
G. nut oil safal deep1 lt,173
G. nut oil Rice 1 lt,177
Apple juice,12
Litchi Juice,6
Parsley,12
Leeks,6
Selari,10
South Africa Gala apple,16
Indian kinora apple,11
Chikkadikai Round,14
Mineral water 1 lt,6
Net rich 5 lt oil,337
Byladha Hannu,5
Maize,12
Y.Bananan T.N.,5
Chain Berry,3
Onion flowers,25
Letteus Greens,3
Basale Greens,4
BaleDindu (Banana stem),9
Batani kalu,14
Sweet corn seeds spok,11
Sweet corn cleaned,6
Sweet corn,7
Orange Australia,11
Orange Ooty,18
Orange Nagpura,17
Orange,22
Mango sakkaregutti,8
Mango Alphans box,6
Mango rathnagiri(red),11
Mango Amarpalli,5
Mango Kesar,8
Mango Langada,9
Mango Dasheri,8
Mango Neelam,5
Mango kalapadu,10
Mango thotapuri,10
Mango mallika,8
Mango malagova,7
Mango Bygan palli,11
Mango Sendura,11
Capsicum,8
Cluster Bean Local,6
Mangalore cucumber,6
Cucumber Ooty,11
Cucumber Israle,11
Cucumber Nati,10
Cucumber,7
Chow-Chow,13
Bottle Gourd,14
Jambo fruit(Nerale),152
Dry fruit mixed,309
Badami,244
Dry apricot,10
Dates seedless,177
Dry dates,177
Dates,205
Cashew nut,168
Cherry kashmir,6
Cherry fruit,4
Ber fruit/Bore fruit,10
Berry Delhi,5
Berry Soft,4
Berry fruit Ooty,5
Peas Delhi,9
Peas local,5
Onion samber,22
Mango Raspuri,9
Onion small(Economy),42
Mango Alphans,8
Mango Badami,227
Mango,9
Papaya red indian,11
Indian Black globe Grapes,6
Jack fruit,10
Onion Big,27
Onion medium,34
Mushroom Oyster,3
Brucoli,7
Avare seed (FB seeds),11
Avarebele (F. Beans spok),12
Bale hoovu(B.flower),8
Sweet corn seeds,9
Kashini (Ganike) Greens,3
Cucumber white,8
Cluster Beans Bunches,14
Gulkan 1/4 kg,119
Gulkan 1/2 kg,108
Gulkan 1 kg,106
Honney 100 gm,12
Honney 200 gm,7
Honney 1 Kg,14
Honney 1/2,11
Copra,209
Cauliflower(B),9
Cabbage chaina,14
Cabbage Red,9
Cabbage,11
Coconut (OS),13
Coconut (S),9
Coconut (M),5
Coconut (B),14
Cowpea Long,14
Cowpea Local,5
Carrot Nati,11
Carrot Delhi,6
Carrot ooty,10
Chillies small (C.B.P),10
Chillies Cleaned,13
Chillies Bajji,12
Chillies Green,9
Capsicum Red/Yellow,5
Capsicum 1,9
Mango Raw,11
Mango Raw Amblet,11
Thogari kai,9
Tomoto,10
Bitter Gourd,11
Yam/S.Root,17
Beet Root,14
Brinjal Mlore,7
Brinjal Bottle,9
Brinjal (R),10
Brinjal (W),5
Brinjal long,9
Beans cleaned,9
Beans Fruit,5
Beans Ring,8
Beans Nati,9
Beans,14
Amla,14
N.Juice 200 ml,2
Pomegranate Juice,16
Brahmi amla juice,2
Jumbu juice,3
South Af.red berry,4
Nagapur Orange Economy,14
Malenian apple,16
Apple Premium,19
Berry Green,4
Berry ball,4
Berry Golden,3
Berry Southafrica,6
Baby corn cleaned,6
Baby corn,8
Chillies Bajji yagani,14
Chilakarive green,14
Potato pack,33
Onion pack,40
Chakota greens,2
Eggs,2
Arive greens,2
knol-khol,8
Chikadi kai,12
Garlic cleaned,30
Garlic,37
Ginger New,16
Ginger,31
Ground nut Hybrid,8
Ground nut Local,12
Double Beans,6
Double Beans seeds,7
Drumstik,5
Cherry Tomoto,5
Cauliflower per Kg,7
Cauliflower(S),9
Cauliflower(M),7
Mushroom Milky,2
Mushroom Button,2
Lime Bijapur,17
Grapes Dry 100gm,4
Grapes Dry 250gm,5
Grapes Red globe,6
Lime Local,22
Little gourd,6
Ladys finger,7
Herali kai,6
Grapes T.S.,5
Avarekai (Field Beans ),11
Banana cooking R.Banana,5
Jukani,14
Sham gadde,12
Snake Gourd(S),14
Snake Gourd,14
Sponge Gourd,14
Raddish Red,44
Raddish,16
Sweet Potato(Genasu),33
Potato Baby,23
Potato(S),21
Potato(B),18
Potato(M),40
Pumpkin Japan,9
Pumpkin Red,6
Pumpkin Ash,12
Peas Ooty,8
Peas Dharwad,13
Orange South Africa,14
Orange malt,22
Grapes Blore blue,3
Guava Allahabad(Red),8
Guava,6
Chicco(Sapota),9
Custerd Apple,18
Chicco(Sapota) rapined,7
Banana Rasabale,5
Banana karpura,7
Banana Nendra,8
Banana chandra,6
Banana Yellaki,5
Banana pachabale,11
Apple Golden delicious,17
Apple Green smith,16
Apple hazarath palli,23
Apple Fuji chaina,14
Apple Newzeland,21
Apple Australia,10
Apple Washington,16
Apple Economy,22
Apple Simla,16
Apple Delicious,18
Palak Greens,4
Menthya Greens,2
Mint Leaves,3
G.nut oil Rice Bron 1 lt,136
G.nut oil Premium1 lt,232
Ground nut oil 1 lt,181
G.oil Net rich 500 ml,203
Fruit Juice Tailand,2
Tender Coco packed,10
Tender Coconut(S),7
Pista,296
Dates Arebian,219
Thinda,13
Tamarind seedless,33
Tamrind Chatisghar,13
Tender Coconut(M),11
Tender Coconut,8
Straw Berry,5
Litchi Taiwan/chaina,4
Litchi Local,5
Kiwi fruit,6
Komark fruit,9
Grapes Crimson,3
Grapes Krishna sharad,5
Grapes Flame,6
Grapes Sonika,3
Grapes Rose,6
Grapes Sharad,5
Grapes Dilkush,3
GrapesAnabi shahi,6
Hesaru kalu,9
Molake kalu,11
Greens Sabbakki,2
Parvala,11
Spring Onion(Cleaned),27
Spring Onion,35
Kashini greens,3
Pineapple juice,19
Thiland Juice,4
Thiland Jelly,3
Orange juice,24
Chikkadikai cleaned,14
Grapesh Tash ganesh,3
Times Rose berry,5
Washington gala apple,16
Chilles small cleaned (C.B.P),6
Apple Chaina Delicious,24
Rumenia Mango,8
Mosambi polo,13
S.mellon namdhari (Red),19
S.mellon Local (Luck),19
Bore fruit,5
Butter fruit,10
Anjura/Fig,5
Peas seeds,12
Bread fruit,14
Apple Chilli,18
Indian red globe,6
Washington red apple,20
Tamarind Paste 150 gm,155
Rice Bran 5 lt,124
Sungold oil 5 lt,148
Ground nut oil 5 lt,284
Safal deep 500 ml,10
Tamarind Paste 450 gm,172
Sun safal Tin 15 lt,12
Sungold oil 5 lt packet,359
Pepper,5
Stevia powder,205
Coconut oil 500 ml,363
Jam 1 kg,106
Jam 1/2 kg,160
Jam 200 gm,178
Jam 100 gm,134
Fanda,8
Chocolates Drink box,125
Kakadi,10
Corriander Leave,4
Curry leave,4
Dhantu greens,2
Ginger ooty,26
Pomegranate,15
Pomegranate Bhagav,16
Pomegranate A.raktha,20
Pomegranate Ganesh,19
Papaya nati,6
Papaya Taiwan,7
Papaya Red lady,11
Papaya sola,10
Pineapple,12
Plum Ooty,3
Plum Australia,3
Peaches,4
Pomello/Chakotha,21
Rose apple,23
Rampal,14
Tamarind sweet 500gm,34
Watermellon,21
Watermellon kiran,17
S.mellon namdhari,22
Mosambi,13
Sweet corn,11
Sweet corn cleaned,5
Sweet corn seeds spok,7
Batani kalu,13
BaleDindu (Banana stem),11
Basale Greens,2
Letteus Greens,2
Onion flowers,38
Chain Berry,3
Y.Bananan T.N.,10
Maize,9
Byladha Hannu,10
Net rich 5 lt oil,177
Mineral water 1 lt,9
Chikkadikai Round,10
Indian kinora apple,14
South Africa Gala apple,20
Selari,9
Leeks,8
Parsley,7
Litchi Juice,5
Apple juice,13
G. nut oil Rice 1 lt,304
G. nut oil safal deep1 lt,265
G. nut Golden oil 1 lt,166
G. nut sungold 1 lt,13
Rice Bran 15 lt Tin,168
Pickles,133
Lime Pickles,262
mango Pickles,278
Pickles mixed veg,120
Avarebele (F. Beans spok),9
Avare seed (FB seeds),10
Brucoli,10
Mushroom Oyster,4
Onion medium,30
Onion Big,37
Jack fruit,13
Indian Black globe Grapes,5
Papaya red indian,8
Mango,6
Mango Badami,343
Mango Alphans,10
Onion small(Economy),26
Mango Raspuri,8
Onion samber,35
Peas local,12
Peas Delhi,14
Berry fruit Ooty,6
Berry Soft,6
Berry Delhi,4
Ber fruit/Bore fruit,12
Cherry fruit,4
Cherry kashmir,6
Cashew nut,297
Dates,147
Dry dates,339
Dates seedless,220
Dry apricot,13
Badami,347
Dry fruit mixed,311
Jambo fruit(Nerale),116
Bottle Gourd,10
Chow-Chow,5
Cucumber,5
Cucumber Nati,5
Cucumber Israle,9
Cucumber Ooty,8
Mangalore cucumber,9
Cluster Bean Local,7
Capsicum,9
Mango Sendura,10
Mango Bygan palli,6
Mango malagova,7
Mango mallika,9
Mango thotapuri,11
Mango kalapadu,5
Mango Neelam,6
Mango Dasheri,6
Mango Langada,10
Mango Kesar,6
Mango Amarpalli,7
Mango rathnagiri(red),9
Mango Alphans box,9
Mango sakkaregutti,11
Orange,17
Orange Nagpura,10
Orange Ooty,15
Orange Australia,10
Tomoto,6
Thogari kai,5
Mango Raw Amblet,7
Mango Raw,9
Capsicum 1,6
Capsicum Red/Yellow,11
Chillies Green,13
Chillies Bajji,10
Chillies Cleaned,5
Chillies small (C.B.P),5
Carrot ooty,6
Carrot Delhi,5
Carrot Nati,7
Cowpea Local,5
Cowpea Long,9
Coconut (B),11
Coconut (M),10
Coconut (S),5
Coconut (OS),9
Cabbage,9
Cabbage Red,10
Cabbage chaina,7
Cauliflower(B),9
Copra,142
Honney 1/2,9
Honney 1 Kg,9
Honney 200 gm,9
Honney 100 gm,14
Gulkan 1 kg,163
Gulkan 1/2 kg,172
Gulkan 1/4 kg,106
Cluster Beans Bunches,9
Cucumber white,10
Kashini (Ganike) Greens,2
Sweet corn seeds,10
Bale hoovu(B.flower),5
Jukani,7
Banana cooking R.Banana,9
Avarekai (Field Beans ),8
Grapes T.S.,4
Herali kai,5
Ladys finger,5
Little gourd,12
Lime Local,11
Grapes Red globe,6
Grapes Dry 250gm,5
Grapes Dry 100gm,6
Lime Bijapur,16
Mushroom Button,3
Mushroom Milky,3
Cauliflower(M),6
Cauliflower(S),10
Cauliflower per Kg,10
Cherry Tomoto,7
Drumstik,6
Double Beans seeds,5
Double Beans,10
Ground nut Local,9
Ground nut Hybrid,13
Ginger,31
Ginger New,30
Garlic,29
Garlic cleaned,37
Chikadi kai,9
knol-khol,9
Arive greens,3
Eggs,3
Chakota greens,4
Onion pack,33
Potato pack,21
Chilakarive green,10
Chillies Bajji yagani,6
Baby corn,10
Baby corn cleaned,6
Berry Southafrica,4
Berry Golden,4
Berry ball,4
Berry Green,5
Apple Premium,20
Malenian apple,12
Nagapur Orange Economy,24
South Af.red berry,4
Jumbu juice,2
Brahmi amla juice,3
Pomegranate Juice,10
N.Juice 200 ml,4
Amla,11
Beans,14
Beans Nati,7
Beans Ring,5
Beans Fruit,9
Beans cleaned,8
Brinjal long,6
Brinjal (W),5
Brinjal (R),6
Brinjal Bottle,5
Brinjal Mlore,8
Beet Root,8
Yam/S.Root,38
Bitter Gourd,9
Mint Leaves,3
Menthya Greens,3
Palak Greens,2
Apple Delicious,11
Apple Simla,22
Apple Economy,23
Apple Washington,20
Apple Australia,20
Apple Newzeland,20
Apple Fuji chaina,12
Apple hazarath palli,24
Apple Green smith,18
Apple Golden delicious,16
Banana pachabale,11
Banana Yellaki,11
Banana chandra,7
Banana Nendra,10
Banana karpura,8
Banana Rasabale,8
Chicco(Sapota) rapined,5
Custerd Apple,12
Chicco(Sapota),7
Guava,7
Guava Allahabad(Red),9
Grapes Blore blue,6
Orange malt,11
Orange South Africa,22
Peas Dharwad,14
Peas Ooty,7
Pumpkin Ash,7
Pumpkin Red,9
Pumpkin Japan,9
Potato(M),32
Potato(B),42
Potato(S),24
Potato Baby,43
Sweet Potato(Genasu),36
Raddish,35
Raddish Red,20
Sponge Gourd,5
Snake Gourd,9
Snake Gourd(S),13
Sham gadde,14
Spring Onion,28
Spring Onion(Cleaned),16
Parvala,5
Greens Sabbakki,3
Molake kalu,14
Hesaru kalu,13
GrapesAnabi shahi,4
Grapes Dilkush,3
Grapes Sharad,5
Grapes Rose,3
Grapes Sonika,4
Grapes Flame,5
Grapes Krishna sharad,6
Grapes Crimson,4
Komark fruit,5
Kiwi fruit,4
Litchi Local,6
Litchi Taiwan/chaina,3
Straw Berry,6
Tender Coconut,5
Tender Coconut(M),7
Tamrind Chatisghar,8
Tamarind seedless,29
Thinda,12
Dates Arebian,333
Pista,133
Tender Coconut(S),14
Tender Coco packed,11
Fruit Juice Tailand,3
G.oil Net rich 500 ml,335
Ground nut oil 1 lt,249
G.nut oil Premium1 lt,228
G.nut oil Rice Bron 1 lt,273
Chocolates Drink box,103
Fanda,12
Jam 100 gm,96
Jam 200 gm,92
Jam 1/2 kg,112
Jam 1 kg,107
Coconut oil 500 ml,157
Stevia powder,346
Pepper,7
Sungold oil 5 lt packet,134
Sun safal Tin 15 lt,13
Tamarind Paste 450 gm,117
Safal deep 500 ml,14
Ground nut oil 5 lt,158
Sungold oil 5 lt,304
Rice Bran 5 lt,136
Tamarind Paste 150 gm,175
Washington red apple,19
Indian red globe,13
Apple Chilli,10
Bread fruit,8
Peas seeds,13
Anjura/Fig,6
Butter fruit,14
Bore fruit,7
S.mellon Local (Luck),18
S.mellon namdhari (Red),22
Mosambi polo,6
Rumenia Mango,11
Apple Chaina Delicious,13
Chilles small cleaned (C.B.P),10
Washington gala apple,11
Times Rose berry,5
Grapesh Tash ganesh,6
Chikkadikai cleaned,12
Orange juice,10
Thiland Jelly,4
Thiland Juice,3
Pineapple juice,18
Kashini greens,2
Mosambi,10
S.mellon namdhari,13
Watermellon kiran,19
Watermellon,11
Tamarind sweet 500gm,41
Rampal,12
Rose apple,20
Pomello/Chakotha,22
Peaches,4
Plum Australia,3
Plum Ooty,3
Pineapple,10
Papaya sola,9
Papaya Red lady,10
Papaya Taiwan,9
Papaya nati,10
Pomegranate Ganesh,15
Pomegranate A.raktha,16
Pomegranate Bhagav,13
Pomegranate,23
Ginger ooty,25
Dhantu greens,3
Curry leave,3
Corriander Leave,3
Kakadi,12
Pickles mixed veg,174
mango Pickles,256
Lime Pickles,250
Pickles,362
Rice Bran 15 lt Tin,150
G. nut sungold 1 lt,12
G. nut Golden oil 1 lt,348
G. nut oil safal deep1 lt,155
G. nut oil Rice 1 lt,271
Apple juice,24
Litchi Juice,4
Parsley,6
Leeks,8
Selari,8
South Africa Gala apple,24
Indian kinora apple,15
Chikkadikai Round,10
Mineral water 1 lt,5
Net rich 5 lt oil,213
Byladha Hannu,12
Maize,10
Y.Bananan T.N.,7
Chain Berry,4
Onion flowers,39
Letteus Greens,3
Basale Greens,4
BaleDindu (Banana stem),7
Batani kalu,12
Sweet corn seeds spok,6
Sweet corn cleaned,7
Sweet corn,9
Orange Australia,21
Orange Ooty,14
Orange Nagpura,15
Orange,19
Mango sakkaregutti,10
Mango Alphans box,8
Mango rathnagiri(red),7
Mango Amarpalli,8
Mango Kesar,5
Mango Langada,8
Mango Dasheri,5
Mango Neelam,8
Mango kalapadu,11
Mango thotapuri,5
Mango mallika,6
Mango malagova,10
Mango Bygan palli,10
Mango Sendura,9
Capsicum,10
Cluster Bean Local,8
Mangalore cucumber,9
Cucumber Ooty,7
Cucumber Israle,7
Cucumber Nati,5
Cucumber,10
Chow-Chow,6
Bottle Gourd,12
Jambo fruit(Nerale),99
Dry fruit mixed,124
Badami,270
Dry apricot,14
Dates seedless,291
Dry dates,249
Dates,132
Cashew nut,287
Cherry kashmir,4
Cherry fruit,6
Ber fruit/Bore fruit,5
Berry Delhi,5
Berry Soft,3
Berry fruit Ooty,3
Peas Delhi,5
Peas local,13
Onion samber,25
Mango Raspuri,11
Onion small(Economy),38
Mango Alphans,10
Mango Badami,282
Mango,10
Papaya red indian,11
Indian Black globe Grapes,3
Jack fruit,9
Onion Big,44
Onion medium,42
Mushroom Oyster,3
Brucoli,9
Avare seed (FB seeds),12
Avarebele (F. Beans spok),13
Bale hoovu(B.flower),6
Sweet corn seeds,8
Kashini (Ganike) Greens,4
Cucumber white,7
Cluster Beans Bunches,5
Gulkan 1/4 kg,129
Gulkan 1/2 kg,153
Gulkan 1 kg,111
Honney 100 gm,12
Honney 200 gm,13
Honney 1 Kg,9
Honney 1/2,7
Copra,332
Cauliflower(B),9
Cabbage chaina,9
Cabbage Red,7
Cabbage,14
Coconut (OS),8
Coconut (S),13
Coconut (M),14
Coconut (B),13
Cowpea Long,6
Cowpea Local,12
Carrot Nati,11
Carrot Delhi,10
Carrot ooty,7
Chillies small (C.B.P),10
Chillies Cleaned,5
Chillies Bajji,11
Chillies Green,5
Capsicum Red/Yellow,5
Capsicum 1,5
Mango Raw,5
Mango Raw Amblet,11
Thogari kai,11
Tomoto,6
Bitter Gourd,9
Yam/S.Root,22
Beet Root,12
Brinjal Mlore,7
Brinjal Bottle,11
Brinjal (R),7
Brinjal (W),10
Brinjal long,10
Beans cleaned,7
Beans Fruit,11
Beans Ring,7
Beans Nati,12
Beans,14
Amla,8
N.Juice 200 ml,4
Pomegranate Juice,24
Brahmi amla juice,2
Jumbu juice,2
South Af.red berry,6
Nagapur Orange Economy,23
Malenian apple,16
Apple Premium,20
Berry Green,6
Berry ball,3
Berry Golden,4
Berry Southafrica,3
Baby corn cleaned,5
Baby corn,9
Chillies Bajji yagani,11
Chilakarive green,5
Potato pack,44
Onion pack,18
Chakota greens,3
Eggs,3
Arive greens,3
knol-khol,9
Chikadi kai,14
Garlic cleaned,15
Garlic,36
Ginger New,20
Ginger,27
Ground nut Hybrid,8
Ground nut Local,12
Double Beans,8
Double Beans seeds,12
Drumstik,12
Cherry Tomoto,9
Cauliflower per Kg,8
Cauliflower(S),6
Cauliflower(M),7
Mushroom Milky,4
Mushroom Button,3
Lime Bijapur,20
Grapes Dry 100gm,5
Grapes Dry 250gm,3
Grapes Red globe,6
Lime Local,20
Little gourd,14
Ladys finger,12
Herali kai,10
Grapes T.S.,4
Avarekai (Field Beans ),12
Banana cooking R.Banana,11
Jukani,14
Sham gadde,14
Snake Gourd(S),12
Snake Gourd,6
Sponge Gourd,13
Raddish Red,15
Raddish,29
Sweet Potato(Genasu),22
Potato Baby,42
Potato(S),25
Potato(B),26
Potato(M),26
Pumpkin Japan,8
Pumpkin Red,8
Pumpkin Ash,9
Peas Ooty,12
Peas Dharwad,9
Orange South Africa,17
Orange malt,24
Grapes Blore blue,4
Guava Allahabad(Red),5
Guava,8
Chicco(Sapota),11
Custerd Apple,19
Chicco(Sapota) rapined,5
Banana Rasabale,10
Banana karpura,7
Banana Nendra,9
Banana chandra,10
Banana Yellaki,5
Banana pachabale,10
Apple Golden delicious,20
Apple Green smith,16
Apple hazarath palli,10
Apple Fuji chaina,23
Apple Newzeland,14
Apple Australia,14
Apple Washington,19
Apple Economy,23
Apple Simla,13
Apple Delicious,15
Palak Greens,4
Menthya Greens,2
Mint Leaves,2
G.nut oil Rice Bron 1 lt,182
G.nut oil Premium1 lt,301
Ground nut oil 1 lt,174
G.oil Net rich 500 ml,234
Fruit Juice Tailand,4
Tender Coco packed,9
Tender Coconut(S),13
Pista,172
Dates Arebian,256
Thinda,14
Tamarind seedless,34
Tamrind Chatisghar,13
Tender Coconut(M),9
Tender Coconut,14
Straw Berry,3
Litchi Taiwan/chaina,5
Litchi Local,5
Kiwi fruit,6
Komark fruit,13
Grapes Crimson,4
